GRID_ID;X;Y;Long_WGS84;Lat_WGS84
1;-19500;-1494200;9.252306065;76.58820199
2;-16500;-1494200;9.367325701;76.58852793
3;-13500;-1494200;9.482350437;76.58879955
4;-10500;-1494200;9.597379345;76.58901686
5;-7500;-1494200;9.712411499;76.58917984
6;-4500;-1494200;9.827445972;76.58928849
7;-1500;-1494200;9.942481836;76.58934282
8;1500;-1494200;10.05751817;76.58934282
9;4500;-1494200;10.17255403;76.58928849
10;7500;-1494200;10.28758851;76.58917984
11;10500;-1494200;10.40262066;76.58901686
12;13500;-1494200;10.51764957;76.58879955
13;16500;-1494200;10.6326743;76.58852793
14;19500;-1494200;10.74769394;76.58820199
15;22500;-1494200;10.86270755;76.58782173
16;25500;-1494200;10.97771421;76.58738717
17;28500;-1494200;11.09271298;76.5868983
18;31500;-1494200;11.20770296;76.58635513
19;34500;-1494200;11.3226832;76.58575767
20;37500;-1494200;11.43765279;76.58510592
21;40500;-1494200;11.55261081;76.5843999
22;43500;-1494200;11.66755631;76.58363961
23;46500;-1494200;11.7824884;76.58282506
24;49500;-1494200;11.89740614;76.58195626
25;52500;-1494200;12.0123086;76.58103322
26;55500;-1494200;12.12719488;76.58005595
27;58500;-1494200;12.24206405;76.57902447
28;61500;-1494200;12.35691518;76.57793878
29;64500;-1494200;12.47174737;76.5767989
30;67500;-1494200;12.58655969;76.57560484
31;70500;-1494200;12.70135123;76.57435661
32;73500;-1494200;12.81612108;76.57305424
33;76500;-1494200;12.9308683;76.57169773
34;79500;-1494200;13.04559201;76.57028711
35;82500;-1494200;13.16029127;76.56882238
36;85500;-1494200;13.27496518;76.56730357
37;88500;-1494200;13.38961284;76.56573069
38;91500;-1494200;13.50423332;76.56410377
39;94500;-1494200;13.61882573;76.56242282
40;97500;-1494200;13.73338916;76.56068786
41;100500;-1494200;13.8479227;76.55889891
42;103500;-1494200;13.96242545;76.557056
43;106500;-1494200;14.07689651;76.55515914
44;109500;-1494200;14.19133497;76.55320836
45;112500;-1494200;14.30573994;76.55120368
46;115500;-1494200;14.42011053;76.54914513
47;118500;-1494200;14.53444583;76.54703272
48;121500;-1494200;14.64874496;76.54486649
49;124500;-1494200;14.76300701;76.54264645
50;127500;-1494200;14.87723111;76.54037264
51;130500;-1494200;14.99141635;76.53804509
52;133500;-1494200;15.10556186;76.53566381
53;136500;-1494200;15.21966675;76.53322884
54;139500;-1494200;15.33373014;76.5307402
55;142500;-1494200;15.44775114;76.52819793
56;145500;-1494200;15.56172888;76.52560205
57;148500;-1494200;15.67566248;76.5229526
58;151500;-1494200;15.78955107;76.5202496
59;154500;-1494200;15.90339377;76.51749309
60;157500;-1494200;16.0171897;76.5146831
61;160500;-1494200;16.13093802;76.51181966
62;163500;-1494200;16.24463784;76.50890281
63;166500;-1494200;16.3582883;76.50593257
64;169500;-1494200;16.47188854;76.50290899
65;172500;-1494200;16.58543771;76.4998321
66;175500;-1494200;16.69893494;76.49670193
67;178500;-1494200;16.81237939;76.49351853
68;181500;-1494200;16.92577019;76.49028192
69;184500;-1494200;17.0391065;76.48699215
70;187500;-1494200;17.15238747;76.48364925
71;190500;-1494200;17.26561226;76.48025326
72;193500;-1494200;17.37878003;76.47680423
73;196500;-1494200;17.49188994;76.47330218
74;199500;-1494200;17.60494114;76.46974717
75;202500;-1494200;17.71793281;76.46613923
76;205500;-1494200;17.83086412;76.4624784
77;208500;-1494200;17.94373423;76.45876473
78;211500;-1494200;18.05654233;76.45499825
79;214500;-1494200;18.16928758;76.45117902
80;217500;-1494200;18.28196917;76.44730707
81;220500;-1494200;18.39458628;76.44338245
82;223500;-1494200;18.5071381;76.43940521
83;226500;-1494200;18.61962382;76.43537538
84;229500;-1494200;18.73204263;76.43129302
85;232500;-1494200;18.84439371;76.42715818
86;235500;-1494200;18.95667628;76.42297089
87;238500;-1494200;19.06888953;76.4187312
88;241500;-1494200;19.18103267;76.41443917
89;244500;-1494200;19.2931049;76.41009485
90;247500;-1494200;19.40510544;76.40569827
91;250500;-1494200;19.51703349;76.4012495
92;253500;-1494200;19.62888828;76.39674857
93;256500;-1494200;19.74066902;76.39219555
94;259500;-1494200;19.85237494;76.38759049
95;262500;-1494200;19.96400526;76.38293343
96;265500;-1494200;20.07555922;76.37822442
97;268500;-1494200;20.18703605;76.37346353
98;271500;-1494200;20.29843498;76.3686508
99;274500;-1494200;20.40975526;76.36378628
100;277500;-1494200;20.52099613;76.35887004
101;280500;-1494200;20.63215683;76.35390212
102;283500;-1494200;20.74323663;76.34888259
103;286500;-1494200;20.85423476;76.34381149
104;289500;-1494200;20.96515049;76.33868888
105;292500;-1494200;21.07598309;76.33351483
106;295500;-1494200;21.1867318;76.32828938
107;298500;-1494200;21.29739592;76.32301259
108;301500;-1494200;21.40797469;76.31768453
109;304500;-1494200;21.51846742;76.31230525
110;307500;-1494200;21.62887336;76.30687481
111;310500;-1494200;21.7391918;76.30139327
112;313500;-1494200;21.84942204;76.29586069
113;316500;-1494200;21.95956337;76.29027713
114;319500;-1494200;22.06961506;76.28464265
115;322500;-1494200;22.17957644;76.27895732
116;325500;-1494200;22.28944679;76.27322119
117;328500;-1494200;22.39922543;76.26743432
118;331500;-1494200;22.50891165;76.26159679
119;334500;-1494200;22.61850479;76.25570865
120;337500;-1494200;22.72800415;76.24976996
121;340500;-1494200;22.83740906;76.2437808
122;343500;-1494200;22.94671883;76.23774121
123;346500;-1494200;23.05593281;76.23165128
124;349500;-1494200;23.16505033;76.22551107
125;352500;-1494200;23.27407071;76.21932063
126;355500;-1494200;23.38299331;76.21308004
127;358500;-1494200;23.49181746;76.20678937
128;361500;-1494200;23.60054252;76.20044867
129;364500;-1494200;23.70916784;76.19405803
130;367500;-1494200;23.81769278;76.1876175
131;370500;-1494200;23.9261167;76.18112715
132;373500;-1494200;24.03443897;76.17458706
133;376500;-1494200;24.14265894;76.16799728
134;379500;-1494200;24.25077601;76.1613579
135;382500;-1494200;24.35878954;76.15466898
136;385500;-1494200;24.46669893;76.14793059
137;388500;-1494200;24.57450354;76.1411428
138;391500;-1494200;24.68220278;76.13430568
139;394500;-1494200;24.78979604;76.12741931
140;397500;-1494200;24.89728272;76.12048375
141;400500;-1494200;25.00466222;76.11349908
142;403500;-1494200;25.11193394;76.10646536
143;406500;-1494200;25.21909731;76.09938268
144;409500;-1494200;25.32615172;76.09225111
145;412500;-1494200;25.43309662;76.08507071
146;415500;-1494200;25.53993141;76.07784157
147;418500;-1494200;25.64665552;76.07056376
148;421500;-1494200;25.7532684;76.06323734
149;424500;-1494200;25.85976947;76.0558624
150;427500;-1494200;25.96615818;76.04843902
151;430500;-1494200;26.07243397;76.04096726
152;433500;-1494200;26.17859629;76.0334472
153;436500;-1494200;26.2846446;76.02587892
154;439500;-1494200;26.39057835;76.0182625
155;442500;-1494200;26.496397;76.01059801
156;445500;-1494200;26.60210003;76.00288553
157;-19500;-1491200;9.250802023;76.61525808
158;-16500;-1491200;9.366052989;76.61558467
159;-13500;-1491200;9.481309085;76.61585683
160;-10500;-1491200;9.596569379;76.61607457
161;-7500;-1491200;9.711832938;76.61623787
162;-4500;-1491200;9.82709883;76.61634674
163;-1500;-1491200;9.942366121;76.61640117
164;1500;-1491200;10.05763388;76.61640117
165;4500;-1491200;10.17290117;76.61634674
166;7500;-1491200;10.28816707;76.61623787
167;10500;-1491200;10.40343063;76.61607457
168;13500;-1491200;10.51869092;76.61585683
169;16500;-1491200;10.63394702;76.61558467
170;19500;-1491200;10.74919798;76.61525808
171;22500;-1491200;10.86444288;76.61487707
